100 50
0 16 59
4 31 59
3 16 21
3 24 38
2 24 54
0 14 40
2 48 47
1 19 14
0 19 24
1 24 0
0 18 58
0 19 24
2 3 19
3 16 39
2 46 23
2 46 15
2 14 37
2 23 57
2 9 10
0 46 49
2 15 27
0 40 45
2 40 20
0 31 9
0 40 20
2 30 9
100 50
3 29 55
2 11 54
2 32 35
4 41 30
2 47 44
0 34 44
0 35 14
2 27 12
1 31 3
1 47 32
3 49 48
0 6 39
2 31 44
3 12 55
4 7 31
1 37 44
1 42 14
1 4 25
3 44 23
2 21 21
4 7 1
0 6 59
1 29 20
2 7 21
3 2 5
4 5 19
1 34 22
3 40 2
3 40 10
2 33 4
3 15 17
0 47 8
3 39 36
0 47 9
0 26 13
1 12 45
0 33 13
4 16 50
2 46 35
2 15 43
0 3 57
3 47 23
3 1 42
1 7 9
0 23 20
1 32 15
1 22 33
4 32 9
4 40 57
2 2 3
100 50
4 34 4
3 42 4
0 4 37
3 1 17
0 14 50
1 49 20
0 32 43
3 2 39
1 4 45
0 13 57
3 43 24
2 14 4
1 26 12
2 44 26
3 43 36
2 5 15
4 9 38
0 25 16
3 46 28
3 24 16
2 26 43
4 24 51
1 23 2
1 34 12
2 0 42
4 20 53
3 41 12
2 6 58
0 40 47
1 12 49
2 1 34
4 0 31
4 14 17
2 48 4
0 46 24
0 11 19
4 23 1
0 1 39
0 41 45
0 10 14
0 1 57
0 38 38
2 44 18
2 43 23
1 39 23
0 16 37
4 14 12
4 28 7
1 40 0
0 29 50
100 50
4 43 37
0 13 11
4 11 26
0 12 10
3 19 18
4 24 5
1 17 5
3 28 25
4 40 58
2 13 51
0 43 59
4 48 29
4 39 26
3 29 13
0 33 38
3 22 30
4 2 27
0 1 12
3 2 9
1 32 43
3 27 30
2 42 56
3 41 5
1 26 58
4 3 23
0 12 57
0 47 52
2 33 11
4 21 59
1 33 40
1 46 56
1 48 8
4 8 51
3 5 15
3 17 57
2 25 37
1 0 24
2 40 15
3 8 30
3 34 43
4 28 1
4 27 56
0 29 23
1 13 38
4 21 41
3 1 34
4 5 41
4 17 31
2 32 19
4 0 27
100 50
3 7 20
4 12 3
0 49 52
0 25 15
4 48 36
3 27 13
4 20 10
2 26 52
2 36 8
2 19 9
2 33 59
2 35 25
4 2 40
0 21 24
0 13 59
2 43 37
2 8 25
3 33 12
3 21 51
2 8 18
4 21 36
4 32 52
0 11 40
0 9 55
3 21 57
2 31 32
2 43 46
1 30 22
2 31 7
3 39 11
2 9 48
3 17 48
1 4 37
2 19 46
1 6 9
3 33 12
4 17 20
2 39 34
4 20 3
1 23 13
4 46 1
3 13 5
0 5 17
0 4 21
4 0 38
4 23 17
4 21 47
1 42 31
3 14 16
1 33 32
100 50
3 1 45
3 1 18
0 16 54
0 47 37
3 47 27
2 32 22
1 48 6
0 33 48
2 3 9
4 46 19
0 4 45
3 40 7
0 22 23
4 46 49
4 12 58
4 4 49
3 5 9
4 6 38
2 27 5
0 4 9
3 18 25
0 44 52
2 46 29
0 37 15
1 36 26
1 48 40
3 39 36
2 29 42
0 12 53
3 17 58
0 42 24
1 12 44
1 43 27
1 25 48
2 4 33
0 37 59
4 3 17
2 1 4
2 21 41
0 6 6
4 16 37
0 16 45
2 41 25
0 24 47
4 35 52
4 30 6
3 38 18
3 45 41
0 17 24
2 4 40
100 50
1 11 6
0 9 39
4 11 35
2 32 25
1 31 28
2 1 35
2 47 52
3 44 43
0 42 17
2 18 11
3 1 48
1 38 47
3 17 2
2 42 38
4 17 7
0 31 29
2 35 29
1 21 8
4 49 47
0 43 47
3 40 20
0 3 54
1 13 28
4 48 44
3 16 43
1 18 33
1 33 5
0 1 56
2 7 27
0 3 34
3 35 2
0 34 12
2 43 18
4 39 28
0 4 9
0 35 54
3 27 15
0 23 34
1 43 33
0 28 2
2 26 50
0 2 46
4 8 59
3 23 45
3 43 10
3 39 25
0 30 52
4 1 16
1 34 4
4 13 29
100 50
2 48 20
4 30 10
2 25 29
4 24 45
2 37 53
1 26 30
4 20 47
0 35 3
3 28 30
3 47 0
0 23 5
0 20 50
1 18 47
3 37 16
0 49 25
4 24 2
0 47 7
1 41 44
4 23 32
2 39 15
0 1 46
4 31 3
4 8 42
4 14 11
2 40 38
1 23 51
4 9 46
0 9 51
3 28 24
2 42 52
3 35 35
4 13 58
0 10 12
3 7 3
2 10 47
1 17 54
2 49 14
3 36 31
3 8 11
2 49 59
0 8 44
2 21 26
4 8 1
0 49 1
0 33 32
0 25 3
1 28 9
2 38 2
3 0 37
4 21 30
100 50
0 11 54
1 29 16
2 21 33
0 2 23
0 21 10
3 26 18
1 40 19
4 36 10
4 19 32
2 26 59
0 29 11
0 12 46
0 39 16
4 38 2
2 19 51
3 39 54
2 21 57
3 20 38
0 13 53
1 19 3
2 38 20
4 35 1
2 15 15
1 1 1
3 36 21
2 31 37
2 8 10
4 9 25
0 10 7
3 48 22
2 25 58
3 19 41
4 6 26
3 12 36
0 9 16
1 27 27
4 30 38
2 3 11
3 40 54
3 18 10
1 11 17
2 14 0
1 23 10
3 21 19
2 12 31
4 29 17
1 23 59
3 37 25
4 24 1
0 10 53
100 50
2 4 13
3 35 13
1 20 19
3 19 32
1 26 13
3 13 46
4 30 48
4 4 20
3 33 43
3 9 31
0 12 44
0 3 28
2 18 35
2 23 12
0 37 32
4 40 26
0 22 32
2 4 29
3 12 0
1 25 8
1 16 22
1 6 34
2 45 24
0 17 41
0 30 9
0 19 32
0 27 46
2 25 52
3 40 20
1 31 37
0 14 18
4 33 6
4 32 31
3 24 33
1 46 20
1 15 32
3 32 55
2 36 49
4 2 9
0 23 28
3 18 13
2 19 51
1 8 30
2 5 18
2 39 58
4 20 25
2 18 15
0 49 55
3 26 52
3 47 29
100 50
2 15 57
1 1 20
2 40 33
2 42 45
1 8 4
2 34 24
1 7 14
2 29 5
1 30 19
2 35 28
4 19 46
4 8 58
0 40 28
0 3 48
0 32 43
2 23 34
4 14 9
0 30 29
0 32 31
0 49 57
1 29 33
2 26 44
2 19 47
1 41 30
1 2 54
3 9 22
2 7 30
1 18 56
1 13 44
0 5 27
3 12 31
0 24 4
1 35 16
0 19 38
3 36 45
3 11 23
3 4 14
1 45 49
0 4 31
4 46 14
1 21 4
2 49 24
0 26 11
1 20 5
2 36 56
2 27 13
4 49 8
0 22 0
0 29 17
2 25 20
100 50
1 38 21
4 2 42
4 31 24
4 0 41
2 2 46
2 35 3
3 22 6
2 48 18
4 24 31
3 24 4
2 35 10
4 31 26
0 45 9
1 29 6
4 34 17
3 21 57
4 47 32
2 11 57
0 9 54
2 3 13
2 11 58
1 28 34
0 6 16
4 47 3
1 34 31
0 4 50
1 30 19
2 15 47
1 19 34
4 7 46
4 31 18
1 5 51
4 37 9
4 20 41
3 19 26
1 29 40
4 39 19
0 33 33
4 30 28
0 30 10
3 46 3
0 37 25
1 26 4
1 49 20
1 7 29
1 39 31
0 32 52
2 40 40
2 49 35
4 46 41
100 50
1 49 30
3 6 13
0 34 10
4 7 36
3 14 59
4 12 43
2 5 1
1 32 43
2 16 53
4 32 16
3 6 24
0 30 21
3 23 59
3 29 47
1 19 9
1 24 22
3 14 19
4 23 25
0 29 11
0 11 34
1 37 41
2 38 15
3 34 53
0 38 16
1 29 22
0 9 1
4 46 11
0 2 58
3 29 2
3 44 35
4 15 27
2 1 7
0 4 49
4 14 0
1 40 41
4 44 54
0 2 1
1 45 0
3 32 49
0 24 45
3 36 16
1 7 15
0 14 1
2 46 3
3 2 45
1 13 43
1 42 54
2 31 50
4 14 56
1 39 27
100 50
2 42 58
0 9 31
4 40 16
0 14 8
0 33 28
3 31 42
4 33 21
1 24 54
0 24 40
4 15 12
2 37 7
4 33 5
3 40 24
1 27 4
2 13 23
3 23 45
4 47 41
0 21 11
4 41 27
1 3 25
3 43 18
0 0 51
3 12 0
1 10 3
0 19 44
0 19 0
2 20 50
3 30 30
3 39 43
1 44 32
0 4 33
1 4 45
0 44 25
0 5 18
4 36 5
1 12 56
1 40 18
3 14 50
2 12 46
2 42 39
1 1 46
1 7 50
2 28 20
4 49 13
2 4 28
0 6 27
1 10 11
3 32 30
0 33 12
2 22 18
100 50
4 7 25
0 45 17
1 44 9
1 7 40
2 31 18
1 29 50
0 6 9
3 18 9
0 13 11
0 1 59
1 36 39
0 48 6
2 23 5
0 40 24
0 44 27
4 12 2
4 48 48
4 8 21
0 37 20
3 30 22
2 32 50
3 5 26
0 49 2
1 18 11
3 45 43
0 16 12
2 21 50
4 29 14
1 15 21
4 47 13
4 38 35
3 12 13
4 24 19
0 6 10
1 31 44
2 30 22
1 20 44
0 42 43
4 4 51
1 30 49
4 10 21
3 7 34
3 9 49
3 44 2
4 47 48
2 47 43
2 41 30
1 17 25
4 40 30
0 34 49
100 50
4 49 19
1 5 9
0 3 31
3 40 7
2 47 4
1 40 47
1 42 50
0 9 38
2 26 6
0 3 18
4 41 55
4 38 22
3 23 17
2 0 29
4 25 5
2 8 45
2 5 57
3 40 23
0 27 20
4 3 23
0 20 18
1 8 7
4 49 9
4 36 7
4 17 15
4 28 54
0 31 8
3 0 31
2 35 14
4 27 38
0 16 25
1 9 8
3 16 6
1 41 34
3 22 32
2 31 9
0 24 20
4 33 9
0 8 56
4 28 38
3 4 19
4 1 40
2 28 6
3 11 56
3 16 36
1 40 58
1 28 51
2 40 19
2 45 23
0 12 49
100 50
3 12 1
4 2 41
1 26 53
1 15 55
4 46 3
1 17 18
0 14 50
0 43 5
1 35 19
2 37 50
2 36 49
3 38 18
0 26 38
1 38 29
3 47 47
1 45 13
2 40 54
2 23 4
1 23 45
0 37 13
4 48 29
2 29 41
2 6 17
3 14 16
0 26 14
0 27 32
2 9 8
1 45 14
0 11 16
3 12 29
2 1 53
4 13 55
2 30 56
4 22 55
0 13 43
2 46 46
4 46 23
0 2 38
1 18 46
0 47 26
0 5 18
3 7 0
3 18 28
1 7 37
2 10 26
0 3 38
3 0 30
1 13 38
4 38 59
1 35 0
100 50
2 34 15
1 15 37
0 45 38
1 6 4
0 5 42
3 14 43
1 26 39
2 15 7
0 49 25
1 24 54
0 13 41
1 18 48
0 37 5
2 44 22
1 29 12
1 7 39
2 30 6
2 37 7
1 23 34
2 47 24
0 15 6
2 38 46
4 2 24
3 23 32
1 22 6
3 48 0
3 25 48
3 23 12
3 11 10
2 8 27
4 40 57
2 35 40
3 5 34
3 20 24
4 37 44
4 44 43
0 26 9
3 2 33
1 19 51
1 0 7
2 9 6
1 9 3
4 40 5
2 9 24
3 16 45
3 14 21
1 29 8
1 27 54
0 36 1
2 10 42
100 50
4 2 2
4 31 11
1 42 56
4 20 18
0 9 18
0 12 12
2 1 27
4 47 8
0 46 17
0 40 42
1 32 52
4 3 55
1 33 37
2 48 25
3 5 54
4 8 59
3 36 4
4 49 22
2 33 31
1 31 0
2 14 59
2 31 19
1 23 18
4 36 47
1 43 58
1 14 15
4 17 30
0 11 16
4 7 43
4 40 47
1 8 42
0 31 6
0 18 3
2 43 20
1 38 44
1 25 3
2 43 59
0 33 18
2 47 24
3 1 0
3 4 40
2 16 47
1 13 39
3 20 50
2 38 31
1 30 57
1 25 21
4 7 37
3 36 51
2 33 28
100 50
0 12 23
3 22 48
3 26 41
0 25 18
2 7 45
3 40 56
3 31 57
0 40 18
2 32 13
0 12 27
1 20 34
1 14 23
2 2 11
1 48 12
1 40 44
2 30 59
0 10 32
1 14 59
4 18 19
0 24 6
2 29 14
0 6 30
4 38 59
1 1 50
4 29 58
2 15 4
1 6 37
4 43 19
2 2 10
1 46 59
4 27 35
2 17 11
0 6 21
1 15 23
4 28 0
4 5 28
0 35 26
4 20 40
4 36 46
3 39 49
1 22 32
4 39 27
3 39 47
3 28 40
2 5 9
2 15 45
3 21 27
3 26 24
4 11 35
4 16 33
100 50
0 43 28
3 0 8
2 33 27
4 25 38
4 19 8
4 36 11
2 7 15
3 8 32
2 27 16
3 48 0
3 33 23
0 37 42
1 24 27
1 22 26
4 37 47
2 47 16
0 43 27
3 48 24
3 8 53
4 30 34
2 14 21
1 43 21
4 19 16
4 25 22
3 38 30
2 17 5
0 34 58
4 13 27
0 25 28
1 37 28
2 8 59
3 33 20
3 46 54
3 26 31
1 23 39
2 5 54
3 46 16
0 29 40
1 8 3
0 28 13
1 9 23
1 38 23
1 8 41
0 43 27
3 2 46
0 35 39
3 6 34
2 20 37
2 49 39
3 31 9
100 50
0 33 4
3 2 43
1 13 47
1 26 56
1 33 51
4 6 52
0 40 13
1 25 4
2 39 16
1 27 57
3 21 35
2 33 14
2 15 22
1 44 0
0 22 32
1 1 55
2 3 54
3 43 27
1 36 20
0 36 41
3 0 57
0 34 51
1 17 47
1 16 28
0 4 12
3 15 11
2 39 28
0 5 51
1 18 54
2 35 58
0 20 37
4 10 43
2 29 31
0 7 11
3 15 26
2 33 25
2 48 28
2 27 22
3 33 17
0 9 14
4 44 54
1 11 51
3 19 32
4 36 48
2 9 46
3 17 5
4 25 29
3 0 30
4 7 54
1 42 6
100 50
2 49 16
0 12 57
4 29 5
3 9 40
0 25 16
1 24 34
0 7 49
0 27 15
1 12 27
2 32 42
3 24 55
1 23 1
1 27 36
1 14 48
0 35 56
0 2 36
0 36 53
2 28 2
2 16 54
3 23 58
2 47 23
2 9 59
1 3 38
2 1 10
4 45 6
1 28 15
1 49 6
3 24 17
2 41 31
1 0 56
4 20 41
1 39 20
2 29 56
4 36 21
4 38 9
0 2 18
3 9 2
0 5 58
0 3 59
3 36 33
4 26 52
2 21 28
3 5 54
4 30 18
1 0 5
0 22 18
4 33 11
0 27 22
3 8 47
1 4 56
100 50
3 30 35
0 20 21
3 8 33
4 8 30
2 11 56
1 45 18
4 28 37
4 24 30
0 22 27
4 16 45
2 40 54
1 13 10
1 49 57
4 41 5
1 25 19
0 35 16
4 46 12
3 46 53
2 21 31
1 8 18
4 45 8
2 45 14
1 30 41
0 42 2
2 42 45
3 14 35
0 38 13
4 11 15
4 2 50
4 20 58
2 46 55
1 30 40
1 9 15
4 32 4
3 9 18
3 26 33
1 24 12
0 14 16
3 4 0
2 48 23
2 4 53
2 49 27
4 2 36
4 24 28
4 48 44
2 36 43
2 34 25
2 22 16
3 39 41
0 14 34
100 50
0 16 42
1 32 46
1 43 53
1 2 37
4 23 46
3 27 57
1 8 0
4 32 42
4 25 44
4 9 10
4 35 36
3 23 31
3 41 12
3 17 49
2 49 33
2 26 34
3 10 30
0 43 40
4 7 47
2 17 53
4 31 5
1 6 17
3 43 17
2 32 19
1 26 56
3 33 22
1 2 53
1 24 46
2 46 55
0 16 39
1 0 33
3 48 3
4 42 6
2 12 28
1 19 20
2 3 5
0 0 47
0 11 42
4 48 0
0 20 27
1 41 5
2 25 29
3 43 3
4 5 34
2 46 32
4 21 18
4 28 8
4 33 42
1 44 23
1 48 26
100 50
4 27 40
1 6 59
3 15 11
1 21 16
1 46 12
0 12 52
4 16 26
3 13 55
1 46 42
3 44 37
3 44 9
3 11 19
0 1 58
2 23 38
4 14 9
3 33 50
3 44 18
2 45 37
0 2 22
3 20 17
3 41 26
3 3 41
2 2 21
1 38 2
0 2 2
3 33 19
4 42 24
1 9 34
3 14 48
1 4 10
3 3 50
4 9 56
4 2 57
2 49 25
1 9 11
4 8 37
3 8 19
3 42 1
1 49 31
1 1 40
2 42 3
1 25 22
0 30 38
2 48 40
1 2 4
0 42 8
1 7 13
2 7 44
0 30 24
0 33 4
100 50
4 38 0
4 1 32
4 2 11
3 15 23
2 27 5
4 33 21
3 12 48
2 16 3
3 46 0
2 45 23
2 42 6
1 29 31
3 18 38
1 41 50
2 7 39
4 49 40
4 5 12
0 37 22
4 8 18
1 17 9
3 31 39
4 7 20
3 5 31
3 42 8
1 16 58
1 47 49
2 37 15
3 17 1
0 23 20
4 30 58
1 43 37
0 34 54
0 45 40
4 48 18
2 49 33
3 42 11
4 16 12
2 26 16
4 23 16
0 45 6
1 7 44
1 44 32
4 31 48
0 32 7
3 8 35
0 21 7
3 16 22
4 11 14
3 0 24
0 1 58
100 50
3 17 16
1 5 12
3 7 32
3 36 28
4 11 39
0 34 43
2 10 24
3 31 29
0 49 44
0 22 17
2 1 53
1 33 39
1 27 34
1 31 15
4 3 33
0 27 12
2 22 21
3 49 47
3 32 2
1 32 20
0 9 2
3 7 23
4 44 6
0 29 0
0 6 30
2 49 9
4 22 35
1 47 55
3 31 10
3 16 16
3 45 7
4 14 22
4 46 51
4 1 4
2 28 49
3 19 1
0 11 36
2 44 7
3 12 44
1 21 2
2 10 12
2 19 35
0 35 58
2 13 27
0 34 56
2 26 0
0 36 44
0 34 53
1 6 45
0 22 1
100 50
1 30 32
2 4 31
4 0 26
2 46 48
1 48 5
3 35 2
1 19 51
1 10 11
2 8 49
1 39 30
0 31 11
2 27 1
0 40 17
3 42 56
3 42 19
3 31 51
4 7 31
3 19 16
4 31 29
0 45 15
3 23 23
0 29 29
4 24 52
0 42 11
4 14 45
2 33 54
4 0 19
2 9 14
2 4 11
4 2 31
2 31 40
3 18 18
4 17 45
3 21 57
4 10 6
1 25 59
3 34 33
2 39 48
2 43 1
4 4 3
0 23 44
4 27 47
3 33 35
0 42 16
3 27 30
1 47 22
0 49 31
0 34 26
0 5 24
0 28 55
100 50
3 37 5
4 2 3
0 30 40
0 7 21
4 27 35
2 4 18
3 43 8
3 21 28
2 35 3
4 38 54
2 23 0
0 21 26
3 44 5
1 8 42
3 27 54
4 19 14
0 16 24
4 21 45
0 22 38
0 4 41
1 42 53
2 17 11
3 9 47
0 18 58
1 30 7
2 38 57
2 15 35
3 23 36
0 17 24
3 41 15
4 5 39
0 0 21
3 7 53
2 18 3
4 7 24
2 10 55
4 31 39
3 23 37
0 28 28
2 19 26
4 27 32
1 13 56
2 3 45
1 47 35
3 31 43
3 12 1
2 21 22
4 18 17
4 39 14
4 6 47
100 50
0 14 30
1 22 47
3 1 37
1 7 24
1 43 4
1 8 26
0 21 2
2 48 46
0 10 50
0 4 45
2 19 32
1 20 3
1 39 4
3 46 38
0 49 37
4 34 44
3 29 56
0 49 6
4 11 32
0 44 49
0 43 15
2 28 14
3 12 30
4 29 13
1 17 7
1 40 10
2 17 50
4 29 13
3 28 36
4 29 9
1 42 10
4 11 34
3 32 26
3 20 1
0 46 56
1 48 41
3 21 11
1 46 37
1 43 11
1 46 31
0 5 43
4 36 9
3 0 43
0 26 3
2 10 6
2 21 33
1 15 52
4 45 8
4 5 37
3 10 10
100 50
3 40 49
0 7 38
2 3 38
1 7 7
2 37 13
0 12 37
0 26 25
2 47 26
3 44 1
1 7 48
0 2 51
0 3 29
4 41 17
3 28 4
4 8 59
1 16 54
1 49 17
0 11 31
2 21 40
1 33 56
1 43 39
2 35 26
3 39 36
4 47 19
4 41 29
1 23 53
0 35 23
4 17 18
0 26 45
1 31 19
0 23 13
0 5 24
3 32 10
3 48 23
3 9 46
4 25 51
1 23 38
2 8 4
0 15 27
2 2 49
0 40 0
0 8 33
1 0 40
0 29 9
3 45 59
1 26 19
0 45 17
4 28 45
4 3 57
2 34 12
100 50
4 48 25
2 19 37
0 0 50
0 26 6
1 20 41
0 22 58
4 3 10
0 14 43
4 35 16
4 8 14
3 30 35
2 12 30
2 7 11
1 20 13
2 37 8
4 3 22
3 48 3
1 2 16
4 15 42
4 21 8
3 45 58
2 16 20
0 17 24
0 9 36
0 17 27
1 34 22
3 49 47
4 17 43
3 46 18
2 8 59
3 43 25
0 41 21
4 34 42
0 10 26
3 3 45
4 7 40
0 29 22
2 2 30
2 30 40
2 18 48
1 33 31
1 41 26
4 41 33
0 5 50
3 34 51
2 13 25
4 38 49
1 15 21
1 24 51
3 29 24
100 50
1 5 1
1 29 29
3 37 34
1 49 39
0 22 55
4 7 18
1 13 1
0 5 10
3 16 8
4 18 42
1 10 30
3 10 56
0 46 26
3 43 22
2 1 20
2 30 41
0 14 55
3 39 29
2 46 8
3 25 50
2 27 45
1 13 50
0 45 54
4 13 5
0 13 44
0 48 18
3 38 10
2 20 59
2 43 17
2 45 11
2 40 53
4 4 40
3 5 6
4 9 46
1 23 14
4 15 11
2 32 48
3 38 2
2 43 18
0 41 59
2 25 32
1 15 35
3 27 49
3 48 1
0 33 37
1 38 57
4 3 29
2 21 17
0 15 25
2 49 45
100 50
2 38 10
3 41 31
0 27 30
1 15 32
1 47 25
2 0 4
4 44 58
2 7 41
3 22 13
4 4 0
4 37 27
2 45 38
1 33 51
1 46 31
0 33 28
2 47 44
2 24 51
0 40 38
3 36 26
4 20 33
4 21 12
0 35 40
2 19 12
2 31 5
2 43 28
1 19 2
0 26 7
1 42 31
4 4 6
4 14 18
3 43 55
0 36 40
0 34 23
2 20 1
2 22 20
0 24 28
4 10 48
3 15 55
0 40 19
2 35 41
3 15 15
4 32 14
3 10 35
2 12 37
0 32 2
1 6 15
1 0 51
0 35 24
0 27 40
0 32 52
100 50
1 32 43
2 48 49
4 38 48
2 11 45
2 26 49
2 7 40
0 38 29
1 44 53
1 3 34
0 39 42
1 44 48
2 49 32
4 15 41
4 32 12
3 40 35
2 6 14
3 7 16
0 17 52
1 41 7
3 30 44
2 13 48
2 25 11
2 40 52
0 19 31
0 2 25
3 48 58
3 42 25
0 49 56
3 39 40
4 43 21
1 42 19
1 1 16
2 6 36
2 25 18
3 23 52
3 17 27
3 33 1
4 34 2
3 39 48
2 28 53
0 11 29
1 28 31
4 16 1
1 19 31
4 26 10
4 27 44
3 33 29
3 32 32
0 29 51
2 30 10
100 50
1 3 36
1 44 28
4 22 38
4 28 42
3 31 53
1 28 47
0 9 24
4 5 30
4 10 57
3 39 19
3 10 0
1 33 2
1 38 19
4 46 11
0 8 17
2 17 29
2 19 33
4 21 22
1 36 0
3 44 5
0 46 49
1 15 44
1 37 19
1 49 47
2 13 10
0 39 43
1 11 25
3 32 21
0 25 42
0 12 29
4 36 30
4 7 38
0 45 39
2 48 49
2 48 4
4 35 8
0 22 28
0 24 12
1 49 10
1 23 0
2 17 31
4 44 24
2 32 55
0 48 19
4 25 6
3 46 6
3 23 4
1 23 53
3 36 48
0 39 10
100 50
4 43 53
